Index | Info | Parent | Right sibling
1 | program | 0 | 0
2 | START | 1 | 0
3 | decllist | 1 | 2
4 | compstmt | 1 | 3
5 | ENDPRG | 1 | 4
6 | declaration | 3 | 0
7 | ; | 3 | 6
8 | decllist | 3 | 7
9 | identifier | 6 | 0
10 | : | 6 | 9
11 | type | 6 | 10
12 | simple_type | 11 | 0
13 | INT | 12 | 0
14 | E | 8 | 0
15 | BEGIN | 4 | 0
16 | stmtlist | 4 | 15
17 | END | 4 | 16
18 | stmt | 16 | 0
19 | ; | 16 | 18
20 | stmtlist | 16 | 19
21 | simple_stmt | 18 | 0
22 | io_stmt | 21 | 0
23 | READ | 22 | 0
24 | ( | 22 | 23
25 | identifier | 22 | 24
26 | ) | 22 | 25
27 | E | 20 | 0
