Token  Index
START  0
id  3
:=  0
ct  23
;  0
id  3
:=  0
ct  7
-  0
ct  4
;  0
id  3
:  0
INT  0
;  0
id  5
:  0
INT  0
;  0
id  6
:  0
INT  0
;  0
id  28
:  0
INT  0
;  0
id  10
:  0
INT  0
;  0
BEGIN  0
READ  0
(  0
id  3
)  0
;  0
READ  0
(  0
id  5
)  0
;  0
READ  0
(  0
id  6
)  0
;  0
IF  0
id  3
>  0
id  5
THEN  0
id  28
:=  0
id  3
;  0
ELSE  0
id  28
:=  0
id  5
;  0
IF  0
id  6
>  0
id  28
THEN  0
id  10
:=  0
id  6
;  0
ELSE  0
id  10
:=  0
id  28
;  0
WRITE  0
(  0
id  10
)  0
;  0
END  0
ENDPRG  0
